date,temperature,humidity,luminosity
2023-12-07 16:11:00.746,21.9,35.9,114
2023-12-07 16:10:59.746,21.9,35.9,113
2023-12-07 16:10:58.739,21.9,35.6,114
2023-12-07 16:10:57.735,21.9,35.6,114
2023-12-07 16:10:56.728,21.9,35.0,114
2023-12-07 16:10:55.724,21.9,35.0,113
2023-12-07 16:10:54.716,21.9,34.9,113
2023-12-07 16:10:53.713,21.9,34.9,113
2023-12-07 16:10:52.705,21.9,34.8,113
2023-12-07 16:10:51.701,21.9,34.8,113
2023-12-07 16:10:50.694,21.9,34.8,113
2023-12-07 16:10:49.694,21.9,34.8,113
2023-12-07 16:10:48.682,21.9,34.8,113
2023-12-07 16:10:47.683,21.9,34.8,113
2023-12-07 16:10:46.675,21.9,34.9,113
2023-12-07 16:10:45.671,21.9,34.9,113
2023-12-07 16:10:44.663,21.9,34.9,113
2023-12-07 16:10:43.660,21.9,34.9,113
2023-12-07 16:10:42.652,21.9,34.9,113
2023-12-07 16:10:41.648,21.9,34.9,113
2023-12-07 16:10:40.641,21.9,34.8,113
2023-12-07 16:10:39.641,21.9,34.8,113
2023-12-07 16:10:38.630,21.9,34.7,113
2023-12-07 16:10:37.630,21.9,34.7,116
2023-12-07 16:10:36.618,21.9,34.7,116
2023-12-07 16:10:35.619,21.9,34.7,93
2023-12-07 16:10:34.607,21.9,34.7,96
2023-12-07 16:10:33.607,21.9,34.7,94
2023-12-07 16:10:32.600,21.9,34.8,93
2023-12-07 16:10:31.596,21.9,34.8,116
2023-12-07 16:10:30.588,21.9,34.8,118
2023-12-07 16:10:29.585,21.9,34.8,118
2023-12-07 16:10:28.577,21.9,34.9,118
2023-12-07 16:10:27.577,21.9,34.9,118
2023-12-07 16:10:26.565,21.9,34.9,117
2023-12-07 16:10:25.566,21.9,34.9,118
2023-12-07 16:10:24.558,21.9,34.9,118
2023-12-07 16:10:23.554,21.9,34.9,118
2023-12-07 16:10:22.546,21.9,35.0,118
2023-12-07 16:10:21.543,21.9,35.0,118
2023-12-07 16:10:20.535,21.9,35.0,118
2023-12-07 16:10:19.532,21.9,35.0,117
2023-12-07 16:10:18.524,21.9,35.0,117
2023-12-07 16:10:17.521,21.9,35.0,117
2023-12-07 16:10:16.512,21.9,35.1,117
2023-12-07 16:10:15.513,21.9,35.1,116
2023-12-07 16:10:14.501,21.9,35.1,116
2023-12-07 16:10:13.502,21.9,35.1,117
2023-12-07 16:10:12.490,21.9,35.2,117
2023-12-07 16:10:11.490,21.9,35.2,117
2023-12-07 16:10:10.483,21.9,35.3,117
2023-12-07 16:10:09.479,21.9,35.3,115
2023-12-07 16:10:08.471,21.9,35.3,115
2023-12-07 16:10:07.468,21.9,35.3,114
2023-12-07 16:10:06.460,21.9,35.4,114
2023-12-07 16:10:05.455,21.9,35.4,114
2023-12-07 16:10:04.447,21.9,35.5,115
2023-12-07 16:10:03.448,21.9,35.5,114
2023-12-07 16:10:02.436,21.9,35.6,114
2023-12-07 16:10:01.437,21.9,35.6,114
2023-12-07 16:10:00.429,21.9,35.7,115
2023-12-07 16:09:59.425,21.9,35.7,114
2023-12-07 16:09:58.417,21.9,35.7,113
2023-12-07 16:09:57.414,21.9,35.7,113
2023-12-07 16:09:56.406,21.9,35.6,114
2023-12-07 16:09:55.402,21.9,35.6,115
2023-12-07 16:09:54.395,21.9,35.7,114
2023-12-07 16:09:53.395,21.9,35.7,114
2023-12-07 16:09:52.384,21.9,35.8,114
2023-12-07 16:09:51.383,21.9,35.8,113
2023-12-07 16:09:50.376,21.9,35.9,102
2023-12-07 16:09:49.373,21.9,35.9,101
2023-12-07 16:09:48.365,21.9,36.1,102
2023-12-07 16:09:47.361,21.9,36.1,97
2023-12-07 16:09:46.353,21.9,36.2,102
2023-12-07 16:09:45.350,21.9,36.2,94
2023-12-07 16:09:44.342,21.9,36.4,94
2023-12-07 16:09:43.338,21.9,36.4,90
2023-12-07 16:09:42.331,21.8,36.6,91
2023-12-07 16:09:41.327,21.8,36.6,94
2023-12-07 16:09:40.319,21.9,36.8,93
2023-12-07 16:09:39.320,21.9,36.8,102
2023-12-07 16:09:38.312,21.8,37.0,101
2023-12-07 16:09:37.309,21.8,37.0,100
2023-12-07 16:09:36.300,21.8,37.2,101
2023-12-07 16:09:35.297,21.8,37.2,98
2023-12-07 16:09:34.289,21.8,37.3,96
2023-12-07 16:09:33.286,21.8,37.3,82
2023-12-07 16:09:32.278,21.8,37.4,90
2023-12-07 16:09:31.279,21.8,37.4,106
2023-12-07 16:09:30.271,21.8,37.4,113
2023-12-07 16:09:29.267,21.8,37.4,112
2023-12-07 16:09:28.259,21.8,36.3,113
2023-12-07 16:09:27.256,21.8,36.3,113
2023-12-07 16:09:26.248,21.9,35.7,113
2023-12-07 16:09:25.244,21.9,35.7,113
2023-12-07 16:09:24.237,21.8,35.6,112
2023-12-07 16:09:23.233,21.8,35.6,112
2023-12-07 16:09:22.225,21.9,35.5,113
2023-12-07 16:09:21.226,21.9,35.5,113
2023-12-07 16:09:20.214,21.8,35.3,113
2023-12-07 16:09:19.215,21.8,35.3,113
2023-12-07 16:09:18.207,21.8,35.4,113
2023-12-07 16:09:17.203,21.8,35.4,113
2023-12-07 16:09:16.195,21.8,35.4,113
2023-12-07 16:09:15.192,21.8,35.4,112
2023-12-07 16:09:14.184,21.8,35.5,92
2023-12-07 16:09:13.180,21.8,35.5,104
2023-12-07 16:09:12.173,21.8,35.6,78
2023-12-07 16:09:11.169,21.8,35.6,81
2023-12-07 16:09:10.161,21.8,35.7,78
2023-12-07 16:09:09.161,21.8,35.7,78
2023-12-07 16:09:08.150,21.8,35.9,78
2023-12-07 16:09:07.151,21.8,35.9,105
2023-12-07 16:09:06.142,21.8,36.0,101
2023-12-07 16:09:05.137,21.8,36.0,89
2023-12-07 16:09:04.129,21.8,36.1,113
2023-12-07 16:09:03.126,21.8,36.1,113
2023-12-07 16:09:02.118,21.8,36.1,113
2023-12-07 16:09:01.118,21.8,36.1,113
2023-12-07 16:09:00.107,21.8,36.2,113
2023-12-07 16:08:59.107,21.8,36.2,112
2023-12-07 16:08:58.099,21.8,36.2,113
2023-12-07 16:08:57.096,21.8,36.2,113
2023-12-07 16:08:56.088,21.8,36.0,113
2023-12-07 16:08:55.084,21.8,36.0,112
2023-12-07 16:08:54.077,21.8,35.2,112
2023-12-07 16:08:53.073,21.8,35.2,113
2023-12-07 16:08:52.065,21.8,35.4,113
2023-12-07 16:08:51.066,21.8,35.4,114
2023-12-07 16:08:50.054,21.8,35.2,113
2023-12-07 16:08:49.055,21.8,35.2,113
2023-12-07 16:08:48.047,21.8,35.1,113
2023-12-07 16:08:47.043,21.8,35.1,113
2023-12-07 16:08:46.036,21.8,35.2,113
2023-12-07 16:08:45.032,21.8,35.2,113
2023-12-07 16:08:44.024,21.8,35.3,113
2023-12-07 16:08:43.021,21.8,35.3,112
